id,type,text1,text2,text3,notes,Column 07
nightcross_nightcrossplanet,CUSTOM,"A formerly sterile husk of a world that nonetheless found a brief moment of habitability during the short lifecycle of its host star. Post-collapse, the world is controlled by warlord states ruling over shielded dome-cities, what remains of Nightcross Armory Corporation being its sole contribution to the wider sector.",,,,
na_orbital_databank,CUSTOM,"The last vestige of the Nightcross planetary government and the seat of the exiled planetary council. While most of the est. 6 mil population remained planetside during the collapse, the space elevator continues to provide a pathway for the rich and the fortunate to escape the fallout.",,,,
na_graveyard_station,CUSTOM,"In the aftermath of the first AI war, a loose conglomeration of junkers and refugees took up shelter on this formerly derelict station. As the population swelled during the fall of Nightcross, the NCA Corporation chose to purchase the habitat and build out its orbital facilities to include a shipyard and refineries. Labor costs are quite low, as most residents have little remaining in the way of possessions and property.",,,,
na_gordion,CUSTOM,"The former headquarters of Nightcross Armory Corporation. More of a glorified office complex rather than a habitat in its own right, its significance was largely overshadowed by Graveyard station as the company moved most of its planetside assets into safer orbits.",,,,
na_antarctica,CUSTOM,"An outpost built to house a small company of prospectors sponsored by Nightcross Armory Corporation post-collapse. After the fall of Nightcross proper, the Company repossessed the largely-abandoned station.",,,,
na_moon,CUSTOM,"Prior to the collapse of the Nightcross planetary government, the Corporation began steadily moving assets off-planet. The evacuation of the Nightcross Armory headquarters blunted those efforts, however, and the proposed site of the new headquarters was abandoned as the Corporation switched its focus toward Graveyard Station.",,,,
na_icegiantmoon,CUSTOM,An icy world that was once the site of a well-funded prospecting operation sponsored by the Nightcross government. Most of the funding evaporated along with the system government.,,,,
na_icegiantmoon2,CUSTOM,"A world of fissures and glaciers, its streaked surface has been etched by tidal forces over the aeons.",,,,
na_icegiantmoon3,CUSTOM,"Originally the site of an interstellar hyperwave relay station, this world now lies abandoned, its facilities buried in ice.",,,,
na_cenotaph,CUSTOM,"A moon with a scarred surface, the subject of numerous weapons tests during Project Aria.",,,,
na_researchbase,CUSTOM,"An orbital weapons research station formerly owned by Nightcross Armory Corporation. In the immediate aftermath of the Collapse, the local management cut ties with the rest of the Corporation and began selling company resources to competitors, hoping to weather the coming storm by forming new connections. Ultimately, the gambit failed to attract meaningful investment in the remote Pascal system, and Nightcross Armory continues to dominate interstellar trade in the system. Aria Station has since fallen into the hands of various warlords fighting for control of a dead system.",,,,
wolf_rayet,CUSTOM,"A late-stage main sequence star of several suns' mass. Shedding away most of its mass like a wildfire, its dying throes manifest in the plumes of ionized gas extending for lightyears in all directions, mixed and warped by gravitational interactions with the local planetary system.",,,,
na_watergiant_desc,CUSTOM,A gas giant in the progress of migrating closer to its host star. Water clouds are clearly visible in the upper atmosphere.,,,,
na_afterburners,SHIP_SYSTEM,Provides a brief burst of movement speed and maneuverability.,Movement,"Provides a brief but extreme boost to speed and maneuverability. Increased speed while accelerating forward, while maneuverability is increased while not accelerating.",,
na_relativitydrive,SHIP_SYSTEM,"Accelerates time briefly, but prevents firing weapons for the duration. Then gain a brief burst of increased fire rate.",Time Dilation,"Accelerates time briefly, but prevents firing weapons.",,
na_reversaldrive,SHIP_SYSTEM,Teleports to where the ship was 3 seconds ago.,Movement,"Dives through space and time to reappear 3s in the past, dealing damage to nearby ships.",,
na_gravitycatapult,SHIP_SYSTEM,Uses a target ship's mass to slingshot past them a fixed distance.,Movement,"Uses a target ship's mass to slingshot past them, turning around in the process. Ship is invulnerable during the movement.",,
na_tidaldisruption,SHIP_SYSTEM,Disrupts the mobility and shield speed of this ship and a targeted ship. Magnitude is greater the closer the target. Affects large targets less strongly.,Movement,Disrupts the mobility and shield speed of this ship and a targeted ship. Magnitude is greater the closer the target. Affects large targets less strongly.,,
na_forgevats,SHIP_SYSTEM,Reloads 20% max ammo to all Large Missile slots and 50% to all Synergy weapons on the ship.,Reload,Reloads 20% max ammo to all Large Missile slots and 50% to all Synergy weapons on the ship.,,
na_fastcapacitors,SHIP_SYSTEM,"Reroute engine power to supercharge all energy hardpoints on the ship, granting +50% range, damage, and ammo regeneration. Non-continuous weapons also gain massively increased fire rate. Increase weapon range by 20% while passive.",Weapon Boost,"Reroute engine power to supercharge all energy hardpoints on the ship, granting +50% range, damage, and ammo regeneration. Non-continuous weapons also gain massively increased fire rate. Increase weapon range by 20% while passive.",,
na_singdrive,SHIP_SYSTEM,"Drags a bubble of space-time forward, dragging following ships along while pulling in anything that approaches from the front.",Movement,Moves forward while dragging nearby ships along.,,
na_plasmasurge,SHIP_SYSTEM,"Supercharges the ship's energy grid, increasing mobility and instantly reloading 10s worth of ammo for Energy and Synergy weapons. Energy flux costs reduced by 30% for the duration.",Movement,Reloads 10s of energy and synergy weapon ammo while increasing mobility and reducing energy flux costs.,,
na_heavyparticlecannon,WEAPON,Fires a powerful barrage capable of producing Bremsstrahlung radiation as the projectiles pass through hull. ,,,,
na_particlecannon,WEAPON,"Accelerated-Magnetic-Particle Cannon. Fires a burst of particles at near-relativistic speeds. Generates deadly radiation as particles pass through hull materials, leading to adverse effect on electronics and crew life expectancy.",,,,
